,college,SS,FSR,FQE,FRU,OE,PU,QP,IPR,FPPP,GUE,GPHD,RD,WD,ESCE,PCS,PR,Rank
34,Indian Institute of Technology (Indian School of Mines),12.73,15.96,13.35,10.46,0,24.85,25.56,3,1.51,51.39,17.61,20.39,9.87,7.76,20,20.33,42
30,Indian Institute of Science Education & Research Pune,8.53,25,17.41,14.51,7,20.41,19.59,2,1.72,52.56,10.71,18.86,22.64,2.07,20,21.81,43
77,Panjab University,15.99,12.95,10.09,7.07,5,16.66,22.84,6,1.14,42.57,33.21,13.49,25.7,0.73,20,28.52,44
15,Chandigarh University,17.87,25,14.37,6.31,0,5.3,9.59,7,3.33,60,15.62,26.87,30,3.39,20,35.18,45
62,Lovely Professional University,18,21.67,12.12,4.13,0,12.99,19.25,11,1.15,60,6.06,25.69,22.66,0,20,30.92,46
59,Kerala University,13,21.25,15.69,14.71,2,10.31,11.14,0.5,0.86,60,36.02,8.87,30,0,20,8.15,47
57,Kalasalingam Academy of Research and Education,13.71,25,17.09,6.86,0,11.37,14.35,4,1.15,60,14.68,18.95,30,7.47,20,18.79,48
83,Shanmugha Arts Science Technology & Research Academy,15.42,24.66,15.81,7.98,0,15.9,18.96,3,3,60,8.45,11.07,27.91,0.43,20,9.48,49
61,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),14.98,25,17.31,4.73,0,18.06,16.74,5.5,0.45,60,9.49,11.31,25.84,0.48,20,14.68,50
32,Indian Institute of Science,11,25,18.43,20,8,35,33.9,11,8.55,52.14,28.43,25.53,10.64,3.06,20,97.94,51
64,"Mahatma Gandhi University, Kottayam",7.42,22.6,15.76,17.35,2.5,17.15,17.47,1.5,2.74,60,13.44,0.5,30,0.73,20,6.78,52
75,National Institute of Technology Warangal,15,18.09,14.5,10.1,0,17.83,17.98,3,0.61,60,13.79,18.61,15.65,4.73,20,20.33,53
69,National Institute of Technology Calicut,15,20.37,15.98,9.7,0,15.26,14.71,2.5,0.57,60,13.62,16.17,23.41,9.53,20,17.73,54
56,JSS Academy of Higher Education and Research,14,25,16.21,13.31,0,8.51,11.51,2,1.45,60,9.35,20.72,30,3.97,20,22.05,55
0,Alagappa University,11.86,24.83,17.93,6.89,0,16.24,18.48,1.5,0.41,60,13.97,0.89,30,1.24,20,15.54,56
