college,Faculty Student Ratio,Faculty Quality,Region Diversity,Woman diversity,Peer reputation,Rank,Score,State,City
Indian Institute of Science Education & Research Bhopal,22.85,18.11,23.81,21.08,8.15,60,50.58,Madhya Pradesh,Bhopal
Delhi Technological University,25,11.07,15.53,20.61,28.52,61,50.54,Delhi,New Delhi
Malaviya National Institute of Technology,18.1,14.51,13.99,19.61,9.8,62,50.36,Rajasthan,Jaipur
Cochin University of Science and Technology,23.09,17.37,1.03,30,13.81,63,50.34,Kerala,Cochin
Osmania University,16.35,11.8,2.63,29.67,9.15,64,49.94,Telangana,Hyderabad
University of Madras,25,18.92,3.23,30,14.39,65,49.93,Tamil Nadu,Chennai
"Indian Institute of Engineering Science and Technology, Shibpur",17.61,13.64,12.4,16.73,21.07,66,49.79,West Bengal,Howrah
Indian Institute of Technology Jodhpur,21.8,17.06,20.55,20.69,9.15,66,49.79,Rajasthan,Jodhpur
Indian Institute of Technology Patna,14.01,11.16,19.89,10.15,12.92,66,49.79,Bihar,Patna
Babasheb Bhimrao Ambedkar University,22.67,18.25,17.94,30,2,69,49.53,Uttar Pradesh,Lucknow
Bharathidasan University,22.8,17.24,1.23,28.46,12.31,70,49.45,Tamil Nadu,Tiruchirappalli
Mysore University,21.97,15.78,6.52,27.47,5.01,71,49.17,Karnataka,Mysuru
"Dr. B R Ambedkar National Institute of Technology, Jalandhar",25,13.3,13,24.7,23,72,49.04,Punjab,Jalandhar
Indian Institute of Technology Mandi,18.26,14.92,22.07,16.21,14.39,73,49.03,Himachal Pradesh,Mandi
"Punjab Agricultural University, Ludhiana",25,18.95,1.93,28.23,7.82,74,48.97,Punjab,Ludhiana
Datta Meghe Institute of Higher Education and Research,25,18.1,12.88,30,0,75,48.92,Maharashtra,Wardha
"Andhra University, Visakhapatnam",14.77,11.31,3.7,28.92,16.92,76,48.54,Andhra Pradesh,Visakhapatnam
King George`s Medical University,25,18.09,4.85,27.52,9.48,77,48.52,Uttar Pradesh,Lucknow
Jamia Hamdard,19.62,14.16,15.95,28.91,11.7,78,48.4,Delhi,New Delhi
UPES,22.82,13.54,22.24,24.74,34.47,79,48.34,Uttarakhand,Dehradun
Sri Sivasubramaniya Nadar College of Engineering,23.69,16.13,4.3,25.52,8.49,80,48.18,Tamil Nadu,Kalavakkam
Dr. D. Y. Patil Vidyapeeth,25,18.41,12.13,30,18.53,81,48.17,Maharashtra,Pune
"Visvesvaraya National Institute of Technology, Nagpur",18.09,14.54,13.76,18.49,9.45,82,48.15,Maharashtra,Nagpur
National Institute of Technology Silchar,16.29,13.16,15.25,14.89,6.78,83,48.12,Assam,Silchar
Sathyabama Institute of Science and Technology,21.78,12.97,16.96,28.26,16.38,84,47.95,Tamil Nadu,Chennai
Gujarat University,25,15.64,9.33,30,2.77,85,47.91,Gujarat,Ahmedabad
"All India Institute of Medical Sciences, Rishikesh",25,18.51,22.35,26.87,9.48,86,47.89,Uttarakhand,Rishikesh
Guru Nanak Dev University,19.11,11.19,7.37,30,12.01,87,47.55,Punjab,Amritsar
SVKM`s Narsee Monjee Institute of Management Studies,24.86,16.35,15,29.62,5.01,88,47.46,Maharashtra,Mumbai
Graphic Era University,25,12.83,20.97,28.52,33.38,89,47.29,Uttarakhand,Dehradun
