,college,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GPH,GUE,GPG,GSS,RD,WD,ESCE,PCS,PR,Rank,Score
,All India Institute of Medical Sciences Raipur,15.09,30,18.94,17.88,8.49,7.38,2,6.7,15.33,22.09,27,3.55,22.57,25.36,1.15,20,14.67,39,53.92
,PSG Institute of Medical Sciences & Research,17.29,30,18.47,11.52,1.78,7.45,0,6.82,23.61,25,24,1.78,7.64,30,0.29,20,50.02,40,53.68
,Gujarat Cancer & Research Institute,13.5,30,16.25,30,2.65,3.2,0.5,6.1,24.38,25,21,6.87,6.96,29.14,0,20,8.78,41,52.61
,Christian Medical College,17.11,30,19.15,25.49,16.84,20.99,3,8.13,24.75,25,30,9.73,10.54,30,0.98,20,90.24,42,52.46
,M. S. Ramaiah Medical College,15.83,30,18.59,12.9,2.9,3.6,0,5.89,21.33,25,27,5.88,7.49,30,1.5,20,37.8,43,52.44
,Government Medical College Thiruvananthapuram,18.5,30,17.67,5.11,3.09,5.91,0,5.08,23.25,25,30,10.55,1.39,30,3.6,10,40.47,44,51.91
,Medical College,18.5,30,18.42,2.07,4,5.25,0,5.54,24.93,25,30,5.01,4.69,25.19,2.21,15,43.33,45,51.17
,Sawai Man Singh Medical College,19.79,30,18.67,5.34,4.6,6.37,0,5.84,21,25,30,12.5,6.67,26.88,0,20,8.78,46,51.12
,Mahatma Gandhi Medical College and Research Institute,18.11,30,19.3,8.1,3.22,2.78,3,7.1,17.87,22.8,27,1.27,24.66,30,4.53,20,16.68,47,50.86
,Chettinad Academy of Research and Education,18.14,30,19.36,8.9,3.21,3.39,5,5.77,22.61,25,27,1.65,13.41,30,0.4,20,9.56,48,50.72
,"Pt. B.D.Sharma, PGIMS ",17.17,30,18.71,10.42,5.46,6.56,0,5.1,21.54,25,30,2.14,5.02,30,0,12,12.56,49,49.73
,B. J. Medical College,19.53,30,18.13,5.56,0.84,2.47,0,5.02,23.16,25,30,11.67,6.23,25.01,0,20,21.62,50,49.71
