college,Faculty Student Ratio,Faculty Quality,Median Salary,Research,Woman diversity,Peer reputation,Score,Rank,City,State
Birla Institute of Technology,20.2,13.36,19.66,26.10623656,14.43,32.88,50.68,53,Ranchi,Jharkhand
UPES,26.42,15.52,10.23,14.42655804,21.36,30.66,50.63,54,Dehradun,Uttarakhand
International Institute of Information Technology Hyderabad,20.58,14.25,25,16.72479339,16.64,23.4,50.33,55,Hyderabad,Telangana
National Institute of Technology Patna,22.14,14.85,14.14,18.75076923,12.27,4.87,50.16,56,Patna,Bihar
Defence Institute of Advanced Technology,29.46,18.12,20.82,15.41,24.02,2.69,50.14,57,Pune,Maharashtra
National Institute of Technology Kurukshetra,17.78,10.16,12.25,19.92,16.08,35.17,49.89,58,Kurukshetra,Haryana
"Indian Institute of Technology, Tirupati",30,17.17,16.45,8.8,12.23,32.52,49.8,59,Yerpedu,Andhra Pradesh
Netaji Subhas University of Technology (NSUT),28.53,15.35,18.8,12.08204082,18.66,22.25,49.68,60,South West,Delhi
Manipal Institute of Technology,27.77,13.86,13.34,18.17721893,21.71,21.78,49.62,61,Manipal,Karnataka
Graphic Era University,25.4,14.15,11.18,1.14942446,28.19,31.23,49.59,62,Dehradun,Uttarakhand
PSG College of Technology,28.01,13.97,11.25,11.80169935,24.05,53.86,49.43,63,Coimbatore,Tamil Nadu
Saveetha Institute of Medical and Technical Sciences,28.73,19.38,8.96,0,22.93,1.94,49.3,64,Chennai,Tamil Nadu
Sardar Vallabhbhai National Institute of Technology,19.62,13.22,13.82,18.18,15.85,10.17,49,65,Surat,Gujarat
Sathyabama Institute of Science and Technology,25.28,13.13,9.3,13.54606897,26.13,11.7,48.87,66,Chennai,Tamil Nadu
Indian Institute of Technology Jammu,30,16.94,17.2,10.46,11.3,22.01,48.15,67,Jammu,Jammu and Kashmir
Banasthali Vidyapith,27.77,16.58,12.41,10.35978261,30,4.16,47.93,68,Banasthali,Rajasthan
Indian Institute of Technology Palakkad,30,16.47,16.15,7.86,21.24,21.78,47.86,69,Palakkad,Kerala
"National Institute of Technology, Raipur",19.33,12.8,14.59,19.4,15.48,4.51,47.69,70,Raipur,Chhattisgarh
University of Hyderabad,27.2,17.77,12.79,15.30909091,17.67,7.27,47.51,71,Hyderabad,Telangana
National Institute of Technology Meghalaya,30,18.37,13.33,13.13357143,16.9,5.22,47.27,72,Shillong,Meghalaya
"College of Engineering, Pune",26.88,13.35,14.9,7.1,23.99,19.1,46.89,73,Pune,Maharashtra
International Institute of Information Technology Bangalore,21.96,13.08,23.16,4.68,16.84,16.78,46.58,74,Bengaluru,Karnataka
Indraprastha Institute of Information Technology Delhi,16.85,11.48,20,16,16.1,12.59,46.57,75,New Delhi,Delhi
Manipal University Jaipur,23.44,13.86,11.38,12.37891129,22.38,2.32,46.39,76,Jaipur,Rajasthan
Sri Krishna College of Engineering and Technology,27.88,13.38,11.07,0,25.72,17.57,46.03,77,Coimbatore,Tamil Nadu
M. S. Ramaiah Institute of Technology,28.34,15.27,11.65,8.780456853,25.19,15.97,45.99,78,Bengaluru,Karnataka
Rajiv Gandhi Institute of Petroleum Technology,29.47,18.57,13.87,6.533513514,13.02,0.4,45.97,79,Amethi,Uttar Pradesh
Maulana Azad National Institute of Technology,17.51,11.92,15.3,13.36913043,18.14,6.26,45.9,80,Bhopal,Madhya Pradesh
Indian Institute of Technology Bhilai,30,16.83,17.39,6.11,8.99,8.26,45.86,81,Raipur,Chhattisgarh
National Institute of Technology Srinagar,19.3,13.03,13.58,12.52730769,14.81,12.3,45.7,82,Srinagar,Jammu and Kashmir
Jawaharlal Nehru Technological University,23.83,12.47,10.09,10.07222798,26.45,12.3,44.75,83,Hyderabad,Telangana
Guru Gobind Singh Indraprastha University,23.98,13.84,14.04,15.66,21.1,17.04,44.31,84,New Delhi,Delhi
"Vignan's Foundation for Science, Technology and Research",30,15.2,10.14,10.00725389,26.36,7.93,43.74,85,Guntur,Andhra Pradesh
Rajalakshmi Engineering College,29.03,14.52,10.09,3.946153846,27.81,6.26,43.46,86,Chennai,Tamil Nadu
Vel Tech Rangarajan Dr. Sagunthala R & D Institute of Science and Technology,28.55,13.72,9.08,6.875043732,19.31,8.91,43.43,87,Chennai,Tamil Nadu
Atal Bihari Vajpayee Indian Institute of Information Technology and Management,20.39,14.31,21.4,10.54,12.54,6.6,43.41,88,Gwalior,Madhya Pradesh
Indian Institute of Information Technology Allahabad,15.27,10.46,23.23,10.23,12.36,23.85,43.29,89,Prayagraj (Allahabad),Uttar Pradesh
National Institute of Technology Goa,25.61,16.5,13.34,10.76,19.27,11.4,43.28,90,Ponda,Goa
National Institute of Technology Agartala,19.51,12.49,12.96,14.18,18.7,6.26,43.24,91,Agratala,Tripura
Chitkara University,15.15,9.23,12.34,10.41713514,24.84,22.25,42.48,92,Rajpura,Punjab
Indian Institute Of Technology Dharwad,26.51,14.75,15.54,6.304545455,13.89,29.69,42.36,93,Dharwad,Karnataka
AU College of Engineering (A),20.56,11.69,11.16,4.52,28.1,5.92,42.32,94,Visakhapatnam,Andhra Pradesh
National Institute of Technology Manipur,29.66,15.94,12.94,9.8716,20.47,3.79,42.28,95,Imphal,Manipur
R.V. College of Engineering,27.15,14.87,14.69,6.62,22.62,14.03,42.22,96,Bengaluru,Karnataka
"Pandit Dwarka Prasad Mishra Indian Institute of Information Technology, Design and Manufacturing (IIITDM)",15.12,10.32,15.59,15.16,10.24,3.06,42.14,97,Jabalpur,Madhya Pradesh
SR University,30,17.52,9.82,6.732954545,29.67,10.79,42.09,98,Warangal,Telangana
"Amity University Haryana, Gurgaon",27.54,14.73,10.18,22.6015748,23.28,13.75,41.99,99,"Gurugram, Haryana",Haryana
"C.V. Raman Global University, Odisha",29.13,16.74,10.45,1.775362998,26.41,6.26,41.93,100,Bhubaneswar,Odisha
