College,Program,Faculty,2021-22,2020-21,2019-20,2018-19,2017-18,2016-17,No. of MaleStudents,No. of FemaleStudents,Total Students,Within State(Including male& female),Outside State(Including male& female),OutsideCountry(Including male& female),EconomicallyBackward(Including male& female),SociallyChallenged(SC+ST+OBCIncluding male& female),No. of studentsreceiving fulltuition feereimbursementfrom the Stateand CentralGovernment,No. of studentsreceiving fulltuition feereimbursementfrom InstitutionFunds,No. of studentsreceiving fulltuition feereimbursementfrom the PrivateBodies,No. of studentswho are notreceiving fulltuition feereimbursement
National University of Study & Research in Law,UG [5 Years Program(s)],35,120,120,120,120,120,-,329,274,603,319,284,0,19,272,7,0,0,284
National University of Study & Research in Law,PG [1 Year Program(s)],35,40,-,-,-,-,-,16,23,39,23,16,0,0,15,0,0,0,15
Nirma University,UG [5 Years Program(s)],83,300,300,240,240,180,-,580,644,1224,191,1033,0,117,23,0,115,0,25
Nirma University,PG [1 Year Program(s)],83,30,-,-,-,-,-,8,22,30,12,18,0,0,0,0,0,0,0
Saveetha Institute of Medical and Technical Sciences,UG [5 Years Program(s)],74,210,210,210,210,180,-,539,509,1048,715,328,5,73,469,1,303,133,105
Saveetha Institute of Medical and Technical Sciences,PG [1 Year Program(s)],74,30,-,-,-,-,-,14,16,30,13,17,0,4,10,0,2,7,5
Shanmugha Arts Science Technology & Research Academy,UG [5 Years Program(s)],45,140,180,180,180,140,-,247,494,741,550,191,0,45,119,0,28,8,128
Siksha `O` Anusandhan,UG [3 Years Program(s)],70,60,60,60,-,-,-,76,85,161,40,121,0,7,22,0,15,0,14
Siksha `O` Anusandhan,UG [5 Years Program(s)],70,240,240,180,180,120,-,389,532,921,193,725,3,34,115,0,91,0,58
Siksha `O` Anusandhan,PG [1 Year Program(s)],70,75,-,-,-,-,-,35,40,75,22,53,0,3,9,0,4,0,8
Symbiosis Law School,UG [3 Years Program(s)],101,60,60,60,-,-,-,62,118,180,71,105,4,2,22,0,24,0,0
Symbiosis Law School,UG [5 Years Program(s)],101,300,300,300,300,300,-,679,836,1515,608,745,162,79,212,23,259,9,0
Symbiosis Law School,PG [1 Year Program(s)],101,80,-,-,-,-,-,26,54,80,34,46,0,2,13,2,13,0,0
"The Rajiv Gandhi National University of Law, Patiala",UG [5 Years Program(s)],58,180,180,180,180,180,-,503,390,893,130,756,7,9,183,35,9,0,148
"The Rajiv Gandhi National University of Law, Patiala",PG [1 Year Program(s)],58,40,-,-,-,-,-,16,24,40,5,35,0,0,9,0,0,0,9
The West Bengal National University of Juridicial Sciences,UG [5 Years Program(s)],66,132,127,127,127,127,-,412,243,655,111,471,73,0,155,4,88,3,60
The West Bengal National University of Juridicial Sciences,PG [1 Year Program(s)],66,82,-,-,-,-,-,49,33,82,9,73,0,0,24,1,11,0,12
